Descrição,Quantidade,Preço Unit. (R$)
20BI 5CL,1,56.38
AAS AD PROTECT 100MG 30CP,8,18.35
AAS IF 30CP,6,17.39
ABIDOR 500MG 20CP,5,5.39
ABLOK 25MG 30CP,14,10.77
ABLOK 50MG 30CP,1,20.47
"ABLOK PLUS 25/12,5MG 30CP",3,19.92
"ABLOK PLUS 50/12,5MG 30CP",6,36.81
ABRILAR XP 100ML,2,39.02
ABS.ALWAYS BASICO 16UN C/ABAS SECA,14,6.4
ABS.ALWAYS BASICO 32UN C/ABAS SECA,4,11.91
ABS.ALWAYS BASICO 32UN C/ABAS SUAVE,4,10.64
ABS.ALWAYS BASICO 8UN C/ABAS SECA,9,3.66
ABS.ALWAYS BASICO 8UN S/ABAS SECA,5,3.66
ABS.ALWAYS BASICO L+P- 10UN C/ABAS SU,7,3.89
ABS.ALWAYS NOTURNO 16UN C/ABAS SECA,3,12.33
ABS.ALWAYS NOTURNO 16UN C/ABAS SUAVE,3,12.26
ABS.ALWAYS NOTURNO 32UN C/ABAS SECA,2,19.88
ABS.ALWAYS NOTURNO 32UN C/ABAS SUAVE,2,19.88
ABS.ALWAYS NOTURNO 8UN C/ABAS SECA,11,6.45
ABS.ALWAYS NOTURNO 8UN C/ABAS SUAVE,5,6.45
ABS.ALWAYS NOTURNO XG 8UN C/ABAS SUAV,11,8.82
ABS.ALWAYS PINK C/ABAS 8UN,13,4.26
ABS.ALWAYS PROT.DIARIO 15UN REGULAR C,6,5.72
ABS.ALWAYS ULTRAFINO 8UN C/ABAS SECA,4,5.53
ABS.CAREFREE 40UN BRISA S/PERFUME,4,12.73
ABS.CAREFREE 40UN ORIGINAL REGULAR,7,12.73
ABS.CAREFREE 80UN PROTEÇÃO C/PERFUME,1,19.55
ABS.CAREFREE 80UN TODO DIA FLEXI S/PE,2,24.18
ABS.CAREFREE 80UN TODO DIA S/PERFUME,6,19.55
ABS.CONFORT MASTER TAM UNICO 20UN,7,13.02
ABS.DIANA 40UN S/ABAS SUAVE,8,7.94
ABS.DIANA 8UN C/ABAS SUAVE,41,2.94
ABS.DIANA DIARIO 80UN PROMO,5,14.83
ABS.DIANA LV16 PG14UN C/ABAS SUAVE,1,5.19
ABS.DIANA NOT SU C/ABAS 8UN,19,4.61
ABS.DIANA SUAVE C/ABAS COM 28 UNID.,1,8.69
ABS.GERIATRICO BIGMAXI 20UN SUPER,7,14.78
ABS.GERIATRICO GERIATEX 20UN,1,16.09
ABS.GERIATRICO GERIATEX PREMIUM 16UN,7,14.18
ABS.INTIMUS DAYS 15UN S/ABAS S/PERFUM,12,4.4
ABS.INTIMUS DAYS S/ABAS 80UN ANTIBACT,4,14.8
ABS.INTIMUS GEL NORMAL 16UN C/ABAS SE,9,6.79
ABS.INTIMUS GEL NORMAL 16UN C/ABAS SU,8,6.79
ABS.INTIMUS GEL NORMAL 32UN C/ABAS SU,4,11.98
ABS.INTIMUS GEL NORMAL 8UN C/ABAS SUA,14,3.69
ABS.INTIMUS GEL NOTURNO 16UN C/ABAS S,8,9.98
ABS.INTIMUS GEL NOTURNO 30UN C/ABAS S,5,17.05
ABS.INTIMUS GEL NOTURNO 30UN C/ABAS S,7,17.04
ABS.INTIMUS GEL NOTURNO 8UN C/ABAS SE,40,5.69
ABS.INTIMUS GEL NOTURNO 8UN C/ABAS SU,15,5.69
ABS.INTIMUS INDICACAO DE TROCA 40UN,4,9.95
ABS.INTIMUS INTERNO 16UN MEDIO,6,14.04
ABS.INTIMUS INTERNO 16UN SUPER,25,14.14
ABS.INTIMUS INTERNO 8UN MEDIO,8,8.3
ABS.INTIMUS PROT DIARIA 80UN CUIDADO,4,14.8
ABS.INTIMUS PROT DIARIO IND TROCA 15U,5,5.41
ABS.INTIMUS PROT DIARIO IND TROCA 80U,4,19.72
ABS.INTIMUS U.FINO DIA&NOITE C/28UN C,4,19.19
ABS.OB 10UN MEDIO,20,8.02
ABS.OB 10UN SUPER,4,8.02
ABS.OB PRO CONFORT 16UN MEDIO,8,13.94
ABS.OB PRO CONFORT 16UN SUPER,8,13.49
ABS.OB PRO CONFORT 8UN MINI,7,9.08
ABS.P/SEIOS CREMER 12UN,1,11.45
ABS.PLENITUD ACT FEMME M 14UN,3,11.46
ABS.PLENITUD FEMME NOTURNO S ABAS 8UN,3,19.3
ABS.S.LIVRE 16UN ADAPT ESPECIAL SV C/,16,6.57
ABS.S.LIVRE 32UN ADAPT PLUS SUAVE C/A,7,13.83
ABS.S.LIVRE 32UN ADAPT SUAVE C/ABAS,6,11.28
ABS.S.LIVRE 8UN ADAPT ESPECIAL SV C/A,15,3.58
ABS.S.LIVRE 8UN ADAPT PLUS SUAVE C/AB,27,4.3
ABS.S.LIVRE 8UN ADAPT SUAVE S/ABAS,6,3.49
